ID,SchoolID,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q1_17,Q1_18,Q1_19,Q1_20,Q1_21,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,drink,smoke,school_M,age
816,11510537,2,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,2,0,2,2,9,1,2,3,1,0,1,2,2,1,1,3,2,1,1,0,0,1,1,2,11
840,10210717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,12
848,10210717,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,12
868,21520435,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,14
883,21520435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,14
891,20220568,1,0,0,2,0,0,0,0,0,1,2,0,2,0,0,1,1,1,0,0,0,1,0,2,0,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,15
894,20220568,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,15
896,20220568,2,2,2,2,2,1,1,3,3,3,3,2,1,2,2,0,2,0,1,1,1,1,0,1,2,2,2,2,1,3,1,2,2,2,1,2,3,3,2,0,1,3,2,1,4,15
907,20220568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,15
915,20220568,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,15
924,21520649,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,15
935,21520649,1,1,1,1,1,0,1,1,1,0,2,0,1,0,1,0,1,0,0,0,0,0,1,1,1,2,0,1,1,0,2,1,0,0,0,1,0,2,2,0,2,2,1,2,4,15
956,20720156,1,3,0,1,1,2,1,0,2,0,1,1,0,1,0,1,1,0,1,0,3,0,1,2,1,1,1,0,2,1,1,0,0,1,1,0,0,1,1,0,3,2,3,1,2,13
977,20720156,1,1,1,1,2,1,2,1,1,2,1,2,1,3,1,1,1,1,0,0,2,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,3,1,1,13
978,20720156,1,0,1,0,0,1,1,2,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,2,13
979,20720156,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,3,13
998,20120551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,15
1018,20120551,0,1,1,0,0,0,1,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,3,15
1042,30130419,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,3,18
1045,30130419,3,3,3,3,3,3,3,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,18
1071,10110694,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,12
1075,10110694,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,12
1083,10110694,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,12
1095,40440250,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,3,18
1096,40440250,0,0,1,1,1,1,1,1,0,0,1,0,0,3,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,3,18
1124,40140242,1,0,0,1,1,2,1,1,1,1,3,1,2,3,1,0,0,2,3,1,0,2,0,1,1,1,1,0,1,1,1,2,0,0,1,1,1,0,0,1,1,3,2,2,2,18
1130,40140242,1,1,2,2,1,0,1,0,1,0,1,1,1,1,1,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,2,18
1131,40140242,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,4,4,18
1153,20120110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,13
1166,20120110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,13
1175,20120110,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,13
1224,20120552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,15
1232,20120552,1,1,0,3,1,1,2,2,1,1,2,0,1,1,1,0,0,1,0,0,0,1,0,0,2,0,1,0,1,2,1,0,0,2,0,0,0,2,0,0,0,1,1,2,3,15
1284,20120549,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,3,15
1293,40440155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,17
1294,40440155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,3,17
1296,40440155,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,2,2,2,2,3,0,0,0,0,0,2,1,2,0,0,3,4,4,3,17
1300,40440155,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,17
1323,10110154,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,4,10
1328,10110154,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,10
1335,10110154,0,2,0,2,1,1,1,0,1,0,0,0,0,1,1,0,1,3,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,2,1,4,10
1342,10810750,0,2,0,1,0,1,0,0,1,0,2,0,1,0,1,1,1,0,0,0,0,1,1,1,9,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,12
1345,10810750,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,12
1346,10810750,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,12
1368,10810750,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,12
1377,40840258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,4,18
1383,40840258,0,1,0,0,0,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,18
1385,40840258,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,2,4,3,18
1390,40840258,0,1,0,2,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,1,3,1,4,18
1399,40840258,0,1,0,2,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,2,1,3,2,0,1,0,0,0,1,0,2,1,1,0,0,0,2,1,2,18
1408,42000030,0,0,0,1,1,0,1,1,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,1,1,2,18
1409,42000030,1,3,2,2,0,3,2,1,1,1,1,1,2,0,1,1,2,0,0,1,0,1,1,1,3,2,3,3,3,2,3,1,1,1,1,1,0,3,2,0,0,1,4,4,1,18
