num,Gender,Age,SBSA1,SBSA2,SBSA3,SBSA4,SBSA5,SBSA6,SBSA7,SBSA8,SBSA9,SBSA10,SBSA11,SBSA12,SBSA13,SBSA14,SBSA15
122,2,20,7,8,3,5,0,2,2,5,5,2,0,2,0,2,0
123,1,21,5,4,3,8,7,2,9,5,2,3,5,4,4,1,5
124,1,21,5,10,10,10,10,10,10,5,0,1,5,1,0,0,0
125,2,20,4,3,0,0,0,4,0,8,0,0,0,4,7,0,0
126,1,21,3,3,1,3,3,3,3,4,5,6,4,4,3,4,3
127,2,20,5,3,0,5,2,1,5,1,1,0,3,4,2,0,2
128,1,21,10,6,0,10,0,0,10,10,1,0,0,6,2,3,0
129,2,20,0,1,0,5,4,0,8,5,0,0,8,0,5,0,7
130,1,21,0,2,0,5,0,0,10,0,1,0,2,1,0,0,0
131,1,21,5,3,3,8,7,5,7,8,4,6,7,6,5,4,5
132,2,20,4,2,0,6,5,0,5,4,0,4,0,3,3,2,9
133,1,20,7,5,3,6,0,0,7,0,0,0,3,0,2,0,5
134,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2,20,3,1,0,2,5,2,7,3,1,0,4,2,4,1,4
136,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,21,3,0,0,9,0,0,7,0,0,0,0,0,0,0,1
138,2,20,1,0,0,5,0,0,6,7,0,0,3,0,0,0,0
139,1,20,3,2,2,5,3,2,8,6,3,4,4,5,5,2,4
140,2,21,5,5,5,4,7,5,2,3,3,3,2,4,3,3,4
141,2,20,3,1,1,5,0,1,9,6,0,0,7,1,2,2,8
142,1,21,4,2,5,9,0,0,8,4,0,2,2,2,2,2,0
143,1,19,1,6,0,4,0,2,8,6,4,0,7,5,6,5,0
144,1,21,3,6,5,10,4,3,6,4,3,4,6,3,2,2,3
145,2,19,4,7,2,8,5,2,7,7,2,1,1,3,2,4,2
146,1,20,3,3,2,6,3,6,8,2,2,3,4,4,4,4,4
147,1,20,6,7,1,5,0,4,5,1,3,7,1,1,1,4,1
148,2,20,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0
149,1,22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
150,2,21,3,0,0,5,0,0,6,0,0,3,5,5,0,2,0
151,1,20,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0
152,2,21,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
153,1,19,4,0,2,7,5,2,9,8,0,0,2,0,0,0,0
154,2,20,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0
155,1,20,6,1,0,8,6,1,10,7,1,8,8,5,4,0,0
156,2,20,1,3,1,4,1,4,1,5,1,5,1,3,0,6,1
157,2,21,3,1,1,1,0,1,0,0,0,0,0,1,1,0,0
158,1,21,5,1,0,5,2,1,7,1,1,1,0,1,0,0,0
159,1,20,2,1,7,8,7,1,9,4,2,1,5,3,3,1,8
160,1,19,4,6,8,4,6,5,4,3,5,7,7,5,6,8,6
161,1,20,3,2,0,8,2,0,10,4,0,0,1,0,8,2,0
162,1,21,2,3,1,4,2,0,9,0,1,3,4,2,2,1,6
163,2,20,3,2,0,4,2,2,5,6,1,5,7,4,7,2,3
164,2,19,1,0,2,6,3,3,8,0,0,1,0,0,0,0,0
165,1,20,5,3,7,5,4,2,9,2,1,4,5,0,0,2,6
166,2,20,0,0,0,6,0,0,3,0,0,0,2,0,0,0,3
167,1,20,1,4,2,8,0,0,4,1,1,0,1,0,0,0,0
168,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,1,23,0,3,0,5,0,0,3,0,0,0,0,0,0,1,5
170,1,20,3,2,0,8,4,0,7,0,0,0,0,2,3,1,0
171,2,22,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1
172,1,20,5,3,5,2,2,7,3,0,4,4,4,4,3,1,0
173,2,21,1,1,2,9,5,1,5,0,1,0,1,0,0,0,5
174,2,22,4,0,4,3,0,0,5,5,3,1,0,3,0,0,0
175,2,20,1,0,0,0,0,0,3,5,0,0,3,2,0,0,2
176,2,20,5,5,5,7,3,2,5,3,3,7,2,2,2,1,5
177,2,20,3,2,7,8,7,1,8,8,5,5,9,9,8,1,7
178,2,20,6,1,2,5,4,4,5,1,3,3,0,2,2,0,2
179,2,20,1,0,0,8,2,0,10,5,1,9,9,8,1,0,9
180,2,22,2,2,0,2,0,2,5,1,0,1,0,0,1,0,0
181,1,20,5,3,4,6,3,2,6,3,3,4,4,3,3,2,4
182,1,19,3,2,0,5,3,0,7,2,0,0,6,2,0,0,0
